task,alpha,release,start,finish,deadline,response,waiting,tardiness,miss,utility
Ultra,0.5,13200.0,13200.0,13202.0,13400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,13400.0,13400.0,13402.0,13600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,13500.0,13500.0,13501.0,13700.0,1.0,0.0,0.0,0,1.0
Button,0.5,13500.0,13501.0,13502.0,13700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,13600.0,13600.0,13602.0,13800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,13800.0,13800.0,13802.0,14000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,14000.0,14000.0,14002.0,14200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,14000.0,14002.0,14003.0,14200.0,3.0,2.0,0.0,0,1.0
Button,0.5,14000.0,14003.0,14004.0,14200.0,4.0,3.0,0.0,0,1.0
Sound,0.5,14000.0,14004.0,14008.0,16000.0,8.0,4.0,0.0,0,1.0
Ultra,0.5,14200.0,14200.0,14202.0,14400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,14400.0,14400.0,14402.0,14600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,14500.0,14500.0,14501.0,14700.0,1.0,0.0,0.0,0,1.0
Button,0.5,14500.0,14501.0,14502.0,14700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,14600.0,14600.0,14602.0,14800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,14800.0,14800.0,14802.0,15000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,15000.0,15000.0,15002.0,15200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,15000.0,15002.0,15003.0,15200.0,3.0,2.0,0.0,0,1.0
Button,0.5,15000.0,15003.0,15004.0,15200.0,4.0,3.0,0.0,0,1.0
Ultra,0.5,15200.0,15200.0,15202.0,15400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,15400.0,15400.0,15402.0,15600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,15500.0,15500.0,15501.0,15700.0,1.0,0.0,0.0,0,1.0
Button,0.5,15500.0,15501.0,15502.0,15700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,15600.0,15600.0,15602.0,15800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,15800.0,15800.0,15802.0,16000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,16000.0,16000.0,16002.0,16200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,16000.0,16002.0,16003.0,16200.0,3.0,2.0,0.0,0,1.0
Button,0.5,16000.0,16003.0,16004.0,16200.0,4.0,3.0,0.0,0,1.0
Sound,0.5,16000.0,16004.0,16008.0,18000.0,8.0,4.0,0.0,0,1.0
Ultra,0.5,16200.0,16200.0,16202.0,16400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,16400.0,16400.0,16402.0,16600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,16500.0,16500.0,16501.0,16700.0,1.0,0.0,0.0,0,1.0
Button,0.5,16500.0,16501.0,16502.0,16700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,16600.0,16600.0,16602.0,16800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,16800.0,16800.0,16802.0,17000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,17000.0,17000.0,17002.0,17200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,17000.0,17002.0,17003.0,17200.0,3.0,2.0,0.0,0,1.0
Button,0.5,17000.0,17003.0,17004.0,17200.0,4.0,3.0,0.0,0,1.0
Ultra,0.5,17200.0,17200.0,17202.0,17400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,17400.0,17400.0,17402.0,17600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,17500.0,17500.0,17501.0,17700.0,1.0,0.0,0.0,0,1.0
Button,0.5,17500.0,17501.0,17502.0,17700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,17600.0,17600.0,17602.0,17800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,17800.0,17800.0,17802.0,18000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,18000.0,18000.0,18002.0,18200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,18000.0,18002.0,18003.0,18200.0,3.0,2.0,0.0,0,1.0
Button,0.5,18000.0,18003.0,18004.0,18200.0,4.0,3.0,0.0,0,1.0
Sound,0.5,18000.0,18004.0,18008.0,20000.0,8.0,4.0,0.0,0,1.0
Ultra,0.5,18200.0,18200.0,18202.0,18400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,18400.0,18400.0,18402.0,18600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,18500.0,18500.0,18501.0,18700.0,1.0,0.0,0.0,0,1.0
Button,0.5,18500.0,18501.0,18502.0,18700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,18600.0,18600.0,18602.0,18800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,18800.0,18800.0,18802.0,19000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,19000.0,19000.0,19002.0,19200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,19000.0,19002.0,19003.0,19200.0,3.0,2.0,0.0,0,1.0
Button,0.5,19000.0,19003.0,19004.0,19200.0,4.0,3.0,0.0,0,1.0
Ultra,0.5,19200.0,19200.0,19202.0,19400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,19400.0,19400.0,19402.0,19600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,19500.0,19500.0,19501.0,19700.0,1.0,0.0,0.0,0,1.0
Button,0.5,19500.0,19501.0,19502.0,19700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,19600.0,19600.0,19602.0,19800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,19800.0,19800.0,19802.0,20000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,20000.0,20000.0,20002.0,20200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,20000.0,20002.0,20003.0,20200.0,3.0,2.0,0.0,0,1.0
Button,0.5,20000.0,20003.0,20004.0,20200.0,4.0,3.0,0.0,0,1.0
Sound,0.5,20000.0,20004.0,20008.0,22000.0,8.0,4.0,0.0,0,1.0
Ultra,0.5,20200.0,20200.0,20202.0,20400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,20400.0,20400.0,20402.0,20600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,20500.0,20500.0,20501.0,20700.0,1.0,0.0,0.0,0,1.0
Button,0.5,20500.0,20501.0,20502.0,20700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,20600.0,20600.0,20602.0,20800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,20800.0,20800.0,20802.0,21000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,21000.0,21000.0,21002.0,21200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,21000.0,21002.0,21003.0,21200.0,3.0,2.0,0.0,0,1.0
Button,0.5,21000.0,21003.0,21004.0,21200.0,4.0,3.0,0.0,0,1.0
Ultra,0.5,21200.0,21200.0,21202.0,21400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,21400.0,21400.0,21402.0,21600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,21500.0,21500.0,21501.0,21700.0,1.0,0.0,0.0,0,1.0
Button,0.5,21500.0,21501.0,21502.0,21700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,21600.0,21600.0,21602.0,21800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,21800.0,21800.0,21802.0,22000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,22000.0,22000.0,22002.0,22200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,22000.0,22002.0,22003.0,22200.0,3.0,2.0,0.0,0,1.0
Button,0.5,22000.0,22003.0,22004.0,22200.0,4.0,3.0,0.0,0,1.0
Sound,0.5,22000.0,22004.0,22008.0,24000.0,8.0,4.0,0.0,0,1.0
Ultra,0.5,22200.0,22200.0,22202.0,22400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,22400.0,22400.0,22402.0,22600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,22500.0,22500.0,22501.0,22700.0,1.0,0.0,0.0,0,1.0
Button,0.5,22500.0,22501.0,22502.0,22700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,22600.0,22600.0,22602.0,22800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,22800.0,22800.0,22802.0,23000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,23000.0,23000.0,23002.0,23200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,23000.0,23002.0,23003.0,23200.0,3.0,2.0,0.0,0,1.0
Button,0.5,23000.0,23003.0,23004.0,23200.0,4.0,3.0,0.0,0,1.0
